"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US06001400100","Census Tract 4001, Alameda County, California","3324","459","2512","448","104","80","0","13","478","84","0","13","55","55","175","106","49","43","126","98",
"1400000US06001400200","Census Tract 4002, Alameda County, California","2038","234","1498","191","48","39","0","13","197","83","0","13","26","21","269","80","59","46","210","72",
"1400000US06001400300","Census Tract 4003, Alameda County, California","5449","598","3410","445","530","211","22","26","640","145","0","19","395","291","452","260","144","100","308","228",
"1400000US06001400400","Census Tract 4004, Alameda County, California","4384","680","3061","655","367","205","22","29","356","140","0","13","189","227","389","150","85","108","304","113",
"1400000US06001400500","Census Tract 4005, Alameda County, California","4048","675","1945","277","1049","628","0","13","417","162","4","8","132","91","501","207","126","88","375","195",
"1400000US06001400600","Census Tract 4006, Alameda County, California","1957","270","896","167","526","175","6","10","145","70","10","17","89","58","285","151","0","13","285","151",
"1400000US06001400700","Census Tract 4007, Alameda County, California","5150","593","2404","490","1251","310","104","100","436","161","0","19","332","342","623","236","185","158","438","175",
"1400000US06001400800","Census Tract 4008, Alameda County, California","4042","555","2060","420","770","310","18","22","660","340","8","15","152","156","374","221","182","179","192","135",
"1400000US06001400900","Census Tract 4009, Alameda County, California","3056","488","1170","247","944","406","55","82","126","118","0","13","383","316","378","192","159","138","219","121",
