"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US06001400100","Census Tract 4001, Alameda County, California","3120","208","2394","236","107","68","0","12","398","112","0","12","34","33","187","126","0","12","187","126",
"1400000US06001400200","Census Tract 4002, Alameda County, California","2007","120","1577","155","52","48","4","7","171","69","0","12","17","16","186","77","14","25","172","73",
"1400000US06001400300","Census Tract 4003, Alameda County, California","5051","309","3748","387","459","179","0","17","590","140","23","39","134","146","97","82","0","17","97","82",
"1400000US06001400400","Census Tract 4004, Alameda County, California","4007","344","2748","268","291","169","44","41","420","133","0","12","199","212","305","124","13","21","292","122",
"1400000US06001400500","Census Tract 4005, Alameda County, California","4124","357","2036","224","882","202","0","12","446","176","22","33","110","85","628","275","39","31","589","272",
"1400000US06001400600","Census Tract 4006, Alameda County, California","1745","133","936","155","375","110","3","4","193","98","15","23","39","35","184","71","0","12","184","71",
"1400000US06001400700","Census Tract 4007, Alameda County, California","5128","447","2183","290","1459","285","14","22","329","99","0","17","572","482","571","194","106","94","465","166",
"1400000US06001400800","Census Tract 4008, Alameda County, California","4069","442","1827","278","1007","372","29","26","618","160","0","12","204","308","384","228","110","125","274","126",
"1400000US06001400900","Census Tract 4009, Alameda County, California","2471","285","1238","294","711","267","61","83","101","81","0","12","207","175","153","79","0","12","153","79",
"1400000US06001401000","Census Tract 4010, Alameda County, California","6133","501","2503","455","1978","492","10","18","412","197","95","112","542","298","593","332","126","131","467","281",
"1400000US06001401100","Census Tract 4011, Alameda County, California","4287","354","2487","383","361","205","0","12","849","326","12","21","260","200","318","197","0","12","318","197",
"1400000US06001401200","Census Tract 4012, Alameda County, California","2619","182","1772","190","300","97","8","25","301","143","0","12","119","91","119","64","15","17","104","62",
"1400000US06001401300","Census Tract 4013, Alameda County, California","3921","263","1637","195","1149","242","34","27","663","146","0","12","136","125","302","152","60","49","242","154",
"1400000US06001401400","Census Tract 4014, Alameda County, California","4732","504","1510","311","1511","458","73","80","570","308","15","23","580","281","473","295","35","33","438","292",
"1400000US06001401500","Census Tract 4015, Alameda County, California","2839","368","1108","252","1065","201","12","17","129","73","24","39","272","231","229","91","26","29","203","92",
"1400000US06001401600","Census Tract 4016, Alameda County, California","2289","217","816","222","822","139","0","12","245","99","21","27","233","104","152","96","0","12","152","96",
"1400000US06001401700","Census Tract 4017, Alameda County, California","3018","339","1430","237","514","187","0","12","367","109","17","20","414","262","276","158","73","93","203","113",
"1400000US06001401800","Census Tract 4018, Alameda County, California","1801","265","654","169","693","220","12","16","99","55","0","12","262","146","81","80","0","12","81","80",
"1400000US06001402200","Census Tract 4022, Alameda County, California","2477","210","829","117","798","231","40","36","405","168","0","12","212","98","193","89","42","46","151","66",
"1400000US06001402400","Census Tract 4024, Alameda County, California","2866","375","786","220","1453","333","1","2","362","188","10","15","78","104","176","109","22","32","154","100",
"1400000US06001402500","Census Tract 4025, Alameda County, California","1781","222","211","106","1065","201","0","12","237","101","0","12","113","116","155","93","77","76","78","68",
"1400000US06001402600","Census Tract 4026, Alameda County, California","1243","117","288","115","322","91","6","9","481","93","0","12","59","48","87","45","3","6","84","44",
"1400000US06001402700","Census Tract 4027, Alameda County, California","1890","228","540","143","811","182","12","18","205","98","0","12","261","184","61","33","28","30","33","23",
"1400000US06001402900","Census Tract 4029, Alameda County, California","1406","126","348","75","259","75","3","4","534","102","0","12","178","89","84","46","0","12","84","46",
"1400000US06001403000","Census Tract 4030, Alameda County, California","2905","216","226","90","127","156","10","17","2366","219","72","71","43","32","61","44","0","12","61","44",
"1400000US06001403100","Census Tract 4031, Alameda County, California","2101","256","698","141","376","176","6","10","807","144","12","20","104","55","98","54","30","34","68","47",
"1400000US06001403501","Census Tract 4035.01, Alameda County, California","4492","388","1879","453","1096","245","54","60","835","182","39","44","58","58","531","327","24","33","507","322",
"1400000US06001403502","Census Tract 4035.02, Alameda County, California","2044","236","963","171","530","165","0","12","254","143","0","12","76","55","221","98","38","42","183","88",
"1400000US06001403600","Census Tract 4036, Alameda County, California","5570","505","1916","338","2396","573","13","17","613","236","0","17","224","124","408","214","82","100","326","191",
"1400000US06001403701","Census Tract 4037.01, Alameda County, California","2968","235","1461","185","800","278","0","12","381","180","0","12","170","73","156","70","18","29","138","63",
"1400000US06001403702","Census Tract 4037.02, Alameda County, California","1930","235","1056","174","298","125","0","12","341","156","0","12","120","107","115","78","21","22","94","75",
"1400000US06001403800","Census Tract 4038, Alameda County, California","3351","270","2341","275","435","221","0","12","392","130","4","6","10","13","169","74","11","17","158","72",
"1400000US06001403900","Census Tract 4039, Alameda County, California","4051","287","2474","379","549","267","9","13","655","192","0","12","77","70","287","204","99","98","188","156",
"1400000US06001404000","Census Tract 4040, Alameda County, California","2895","218","1853","199","244","121","29","31","295","94","71","67","117","80","286","112","14","17","272","108",
"1400000US06001404101","Census Tract 4041.01, Alameda County, California","3017","208","2004","246","237","101","11","13","380","111","0","12","115","95","270","151","9","15","261","151",
"1400000US06001404102","Census Tract 4041.02, Alameda County, California","2653","173","1888","203","130","70","36","45","335","103","20","32","93","112","151","111","32","53","119","99",
"1400000US06001404200","Census Tract 4042, Alameda County, California","3877","274","2531","270","256","172","8","9","736","226","33","36","72","39","241","122","14","12","227","122",
"1400000US06001404300","Census Tract 4043, Alameda County, California","3443","216","2315","231","57","69","0","12","467","113","0","12","176","137","428","224","135","118","293","181",
"1400000US06001404400","Census Tract 4044, Alameda County, California","5628","313","4036","317","131","88","40","45","729","170","0","17","0","17","692","278","74","98","618","274",
"1400000US06001404501","Census Tract 4045.01, Alameda County, California","1809","128","1317","143","122","56","0","12","209","94","9","12","18","21","134","57","0","12","134","57",
"1400000US06001404502","Census Tract 4045.02, Alameda County, California","5891","298","4682","321","104","93","13","19","624","249","0","17","74","84","394","175","27","42","367","169",
"1400000US06001404600","Census Tract 4046, Alameda County, California","4625","295","3354","248","178","113","8","11","641","147","106","163","95","63","243","142","12","17","231","142",
"1400000US06001404700","Census Tract 4047, Alameda County, California","2137","138","1616","146","128","61","0","12","286","142","9","13","27","23","71","50","0","12","71","50",
"1400000US06001404800","Census Tract 4048, Alameda County, California","2647","203","1517","227","423","98","92","112","293","56","0","12","52","42","270","125","59","76","211","107",
"1400000US06001404900","Census Tract 4049, Alameda County, California","4197","235","2689","239","403","149","43","38","674","113","31","32","34","32","323","113","23","29","300","113",
"1400000US06001405000","Census Tract 4050, Alameda County, California","3394","189","2200","227","407","185","10","16","389","86","0","12","64","63","324","128","27","31","297","125",
"1400000US06001405100","Census Tract 4051, Alameda County, California","4285","226","2816","161","589","161","0","12","435","111","0","12","78","51","367","129","52","49","315","125",
"1400000US06001405200","Census Tract 4052, Alameda County, California","5183","297","2341","296","604","117","36","45","1635","320","25","39","151","93","391","143","141","74","250","132",
"1400000US06001405301","Census Tract 4053.01, Alameda County, California","2954","195","1679","199","352","154","0","12","322","106","13","16","329","148","259","110","35","32","224","99",
"1400000US06001405302","Census Tract 4053.02, Alameda County, California","2373","247","861","202","312","134","8","13","1004","215","0","12","53","35","135","82","15","18","120","77",
"1400000US06001405401","Census Tract 4054.01, Alameda County, California","3648","310","887","212","643","213","0","12","1277","281","0","12","625","294","216","88","13","17","203","86",
"1400000US06001405402","Census Tract 4054.02, Alameda County, California","3357","355","679","217","894","267","45","44","938","153","102","98","542","250","157","130","0","12","157","130",
"1400000US06001405500","Census Tract 4055, Alameda County, California","3880","347","1062","171","879","227","55","72","1619","340","41","56","56","49","168","92","0","12","168","92",
"1400000US06001405600","Census Tract 4056, Alameda County, California","3269","276","1292","287","602","240","96","93","727","244","0","12","325","223","227","102","74","59","153","79",
"1400000US06001405700","Census Tract 4057, Alameda County, California","3531","326","620","188","747","313","17","21","1625","457","0","12","303","301","219","120","46","58","173","100",
"1400000US06001405800","Census Tract 4058, Alameda County, California","4370","481","1074","335","962","427","108","116","1871","367","25","38","224","148","106","90","24","35","82","73",
"1400000US06001405901","Census Tract 4059.01, Alameda County, California","4426","555","813","551","716","256","61","37","1618","393","37","58","1111","431","70","68","42","56","28","42",
"1400000US06001405902","Census Tract 4059.02, Alameda County, California","2942","281","390","150","358","94","26","27","1459","247","0","12","536","156","173","99","37","40","136","94",
"1400000US06001406000","Census Tract 4060, Alameda County, California","3796","372","1148","346","525","228","6","10","1590","353","3","7","444","303","80","71","8","14","72","69",
"1400000US06001406100","Census Tract 4061, Alameda County, California","4733","594","1664","583","432","424","161","217","855","365","28","41","1509","622","84","76","11","19","73","63",
"1400000US06001406201","Census Tract 4062.01, Alameda County, California","4995","504","567","236","1056","398","79","61","1424","314","18","28","1681","477","170","93","9","15","161","92",
"1400000US06001406202","Census Tract 4062.02, Alameda County, California","4817","338","1508","436","696","225","323","214","622","134","0","12","1488","406","180","80","72","59","108","63",
"1400000US06001406300","Census Tract 4063, Alameda County, California","4383","424","1014","267","1161","415","19","23","1061","369","0","12","815","194","313","180","172","176","141","80",
