"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"1400000US06001409600","Census Tract 4096; Alameda County; California","5139","663","422","190","1283","438","25","38","77","116","28","21","2866","643","438","314","328","294","110","106",
"1400000US06001409700","Census Tract 4097; Alameda County; California","5240","1012","720","331","1875","490","0","19","168","153","68","67","1443","379","966","670","230","136","736","662",
"1400000US06001409800","Census Tract 4098; Alameda County; California","3511","594","855","292","1785","388","69","109","220","115","0","13","103","76","479","288","53","68","426","282",
"1400000US06001409900","Census Tract 4099; Alameda County; California","3983","563","1120","301","1635","451","0","13","245","136","0","13","415","325","568","261","104","92","464","245",
"1400000US06001410000","Census Tract 4100; Alameda County; California","3177","536","1047","213","1502","493","14","20","211","100","55","57","132","87","216","90","77","56","139","85",
"1400000US06001410100","Census Tract 4101; Alameda County; California","3172","401","314","172","1671","312","0","13","326","137","23","24","412","198","426","164","111","104","315","134",
"1400000US06001410200","Census Tract 4102; Alameda County; California","3238","501","377","173","1534","347","30","41","152","104","0","13","1038","480","107","101","0","13","107","101",
"1400000US06001410300","Census Tract 4103; Alameda County; California","3893","418","438","204","727","240","24","37","67","61","7","13","2334","465","296","170","216","150","80","68",
"1400000US06001410400","Census Tract 4104; Alameda County; California","4687","823","365","187","1474","369","179","127","388","184","0","13","1531","397","750","561","564","566","186","114",
"1400000US06001410500","Census Tract 4105; Alameda County; California","3081","417","841","386","1874","324","0","13","126","101","28","30","128","112","84","81","6","9","78","81",
"1400000US06001426100","Census Tract 4261; Alameda County; California","6300","506","4420","439","0","19","0","19","1549","412","0","19","20","33","311","140","0","19","311","140",
"1400000US06001426200","Census Tract 4262; Alameda County; California","4861","504","3458","459","70","71","0","13","866","234","11","20","47","40","409","127","121","86","288","89",
"1400000US06001981900","Census Tract 9819; Alameda County; California","25","32","25","32","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US06001982000","Census Tract 9820; Alameda County; California","50","19","25","17","5","7","3","4","17","17","0","13","0","13","0","13","0","13","0","13",
"1400000US06001983200","Census Tract 9832; Alameda County; California","896","105","515","113","124","67","16","53","171","54","1","6","43","39","26","16","10","12","16","14",
"1600000US0653000","Oakland city, California","437825","56","141569","2814","95412","2851","5333","1020","69491","2549","2207","489","79898","2955","43915","2228","15896","1464","28019","1771",
"1600000US0656938","Piedmont city, California","11161","23","7878","377","70","71","0","21","2415","382","11","20","67","49","720","188","121","86","599","166",
