"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US06001400100","Census Tract 4001, Alameda County, California","3035","402","2299","407","94","72","0","13","424","83","0","13","48","50","170","117","17","25","153","109",
"1400000US06001400200","Census Tract 4002, Alameda County, California","1983","209","1402","192","44","31","6","8","219","102","0","13","34","28","278","105","17","25","261","106",
"1400000US06001400300","Census Tract 4003, Alameda County, California","5058","559","3262","513","433","177","6","15","773","386","34","56","193","160","357","268","148","163","209","193",
"1400000US06001400400","Census Tract 4004, Alameda County, California","4179","529","2877","486","300","153","36","37","418","155","0","13","201","202","347","119","93","106","254","104",
"1400000US06001400500","Census Tract 4005, Alameda County, California","4021","631","1959","242","1109","606","0","13","387","140","0","13","87","87","479","224","41","31","438","221",
"1400000US06001400600","Census Tract 4006, Alameda County, California","1812","230","868","131","511","170","7","10","188","83","11","18","46","38","181","73","0","13","181","73",
"1400000US06001400700","Census Tract 4007, Alameda County, California","5165","615","2388","483","1486","375","43","56","301","146","0","19","493","482","454","187","78","74","376","146",
"1400000US06001400800","Census Tract 4008, Alameda County, California","4001","492","2026","474","857","343","19","21","661","383","4","8","66","94","368","201","164","172","204","125",
"1400000US06001400900","Census Tract 4009, Alameda County, California","2853","462","1034","196","846","359","54","82","142","111","0","13","421","306","356","171","145","132","211","95",
"1400000US06001401000","Census Tract 4010, Alameda County, California","6057","851","2274","602","1665","523","35","44","490","225","95","97","675","356","823","443","116","116","707","415",
"1400000US06001401100","Census Tract 4011, Alameda County, California","4269","595","2397","414","450","246","0","13","676","244","11","19","202","157","533","317","0","13","533","317",
"1400000US06001401200","Census Tract 4012, Alameda County, California","2654","373","1789","343","319","150","2","5","265","107","17","32","120","88","142","76","23","21","119","74",
"1400000US06001401300","Census Tract 4013, Alameda County, California","3830","360","1597","264","857","239","29","25","819","213","0","13","152","120","376","186","79","56","297","172",
"1400000US06001401400","Census Tract 4014, Alameda County, California","4895","872","1630","398","1518","413","41","55","602","374","11","18","570","327","523","314","30","34","493","305",
"1400000US06001401500","Census Tract 4015, Alameda County, California","2816","493","980","258","1228","396","11","15","116","52","19","31","214","179","248","147","93","111","155","80",
"1400000US06001401600","Census Tract 4016, Alameda County, California","2223","354","627","188","722","165","3","5","180","74","22","30","385","209","284","167","88","126","196","111",
"1400000US06001401700","Census Tract 4017, Alameda County, California","3210","544","1365","350","563","326","0","13","524","138","29","30","366","166","363","208","130","143","233","117",
"1400000US06001401800","Census Tract 4018, Alameda County, California","1730","291","596","129","633","199","10","15","71","41","0","13","302","211","118","85","0","13","118","85",
"1400000US06001402200","Census Tract 4022, Alameda County, California","2387","347","795","179","821","275","39","29","412","137","0","13","121","52","199","94","67","55","132","69",
"1400000US06001402400","Census Tract 4024, Alameda County, California","2401","360","624","201","1337","327","16","27","263","137","0","13","20","26","141","88","17","27","124","84",
"1400000US06001402500","Census Tract 4025, Alameda County, California","1904","366","157","97","1165","318","0","13","303","158","0","13","150","131","129","93","83","87","46","49",
"1400000US06001402600","Census Tract 4026, Alameda County, California","1255","236","216","96","324","119","4","8","487","107","0","13","61","47","163","136","5","8","158","137",
"1400000US06001402700","Census Tract 4027, Alameda County, California","1927","302","680","252","689","127","10","15","259","130","0","13","213","141","76","45","28","33","48","35",
"1400000US06001402801","Census Tract 4028.01, Alameda County, California","3321","613","1142","192","1225","571","35","59","541","214","0","13","95","92","283","184","56","64","227","165",
"1400000US06001402802","Census Tract 4028.02, Alameda County, California","1337","371","375","234","585","309","0","13","240","148","0","13","65","64","72","68","0","13","72","68",
"1400000US06001402900","Census Tract 4029, Alameda County, California","1486","261","388","93","213","76","2","4","708","241","0","13","89","40","86","42","4","6","82","41",
"1400000US06001403000","Census Tract 4030, Alameda County, California","2850","314","245","116","110","129","33","36","2182","291","110","88","34","27","136","102","0","13","136","102",
"1400000US06001403100","Census Tract 4031, Alameda County, California","2077","280","767","205","432","191","0","13","604","131","14","21","123","58","137","52","50","36","87","41",
"1400000US06001403301","Census Tract 4033.01, Alameda County, California","1615","392","265","158","18","29","121","91","1085","422","0","13","68","55","58","67","0","13","58","67",
"1400000US06001403302","Census Tract 4033.02, Alameda County, California","2389","412","1123","272","111","113","64","69","814","323","0","13","27","22","250","144","37","41","213","142",
"1400000US06001403401","Census Tract 4034.01, Alameda County, California","2940","344","1373","283","600","298","14","21","639","213","13","19","151","121","150","93","28","46","122","81",
"1400000US06001403402","Census Tract 4034.02, Alameda County, California","1405","217","529","227","373","123","0","13","373","128","41","63","0","13","89","75","18","29","71","67",
"1400000US06001403501","Census Tract 4035.01, Alameda County, California","4454","737","1828","493","1108","257","39","35","985","378","65","82","42","45","387","169","26","26","361","159",
"1400000US06001403502","Census Tract 4035.02, Alameda County, California","1902","274","1036","196","384","178","0","13","173","98","0","13","98","62","211","82","45","46","166","61",
"1400000US06001403600","Census Tract 4036, Alameda County, California","5582","653","1866","415","2075","550","81","59","610","220","0","19","279","175","671","399","182","176","489","373",
"1400000US06001403701","Census Tract 4037.01, Alameda County, California","2776","371","1396","301","583","228","0","13","433","216","0","13","191","126","173","77","15","17","158","74",
"1400000US06001403702","Census Tract 4037.02, Alameda County, California","1883","264","1056","222","332","153","0","13","273","132","0","13","124","105","98","70","36","45","62","57",
"1400000US06001403800","Census Tract 4038, Alameda County, California","3514","330","2343","269","562","337","6","10","436","139","5","8","27","20","135","71","27","27","108","64",
"1400000US06001403900","Census Tract 4039, Alameda County, California","4122","725","2629","656","404","208","21","25","596","278","0","13","68","63","404","332","269","290","135","132",
"1400000US06001404000","Census Tract 4040, Alameda County, California","2910","329","1738","236","314","143","29","31","379","122","45","47","68","46","337","119","79","75","258","107",
"1400000US06001404101","Census Tract 4041.01, Alameda County, California","2988","315","2138","345","223","92","12","17","299","94","0","13","111","82","205","107","26","23","179","104",
"1400000US06001404102","Census Tract 4041.02, Alameda County, California","2637","363","1609","204","174","97","28","41","335","98","16","25","126","78","349","266","57","58","292","256",
"1400000US06001404200","Census Tract 4042, Alameda County, California","3826","427","2564","361","295","234","7","10","597","226","39","43","75","53","249","109","39","26","210","105",
"1400000US06001404300","Census Tract 4043, Alameda County, California","3546","343","2477","348","58","65","12","26","507","122","0","13","188","150","304","191","132","118","172","103",
"1400000US06001404400","Census Tract 4044, Alameda County, California","5755","546","3733","465","119","88","46","48","813","252","0","19","58","93","986","337","118","104","868","316",
"1400000US06001404501","Census Tract 4045.01, Alameda County, California","1790","189","1324","181","75","43","0","13","214","92","2","4","19","20","156","91","48","73","108","51",
"1400000US06001404502","Census Tract 4045.02, Alameda County, California","5893","605","4375","522","236","190","9","13","768","457","0","19","135","109","370","159","113","96","257","146",
"1400000US06001404600","Census Tract 4046, Alameda County, California","4936","558","3303","318","266","224","0","13","627","184","137","127","70","52","533","270","122","163","411","220",
"1400000US06001404700","Census Tract 4047, Alameda County, California","2099","252","1588","219","100","52","0","13","263","148","8","12","54","52","86","44","0","13","86","44",
"1400000US06001404800","Census Tract 4048, Alameda County, California","2650","305","1552","309","304","189","128","140","376","138","0","13","69","50","221","116","54","64","167","91",
"1400000US06001404900","Census Tract 4049, Alameda County, California","4253","463","2660","315","350","133","33","26","601","131","60","56","181","197","368","182","147","139","221","104",
"1400000US06001405000","Census Tract 4050, Alameda County, California","3444","340","2070","282","463","200","0","13","416","128","0","13","77","76","418","190","163","143","255","120",
"1400000US06001405100","Census Tract 4051, Alameda County, California","4285","359","2623","400","520","201","0","13","568","205","0","13","63","46","511","183","139","106","372","162",
"1400000US06001405200","Census Tract 4052, Alameda County, California","5159","996","2138","310","480","134","0","19","2028","974","20","33","196","115","297","137","115","69","182","123",
"1400000US06001405301","Census Tract 4053.01, Alameda County, California","2947","442","1708","299","406","251","0","13","368","108","8","12","209","120","248","119","77","65","171","96",
"1400000US06001405302","Census Tract 4053.02, Alameda County, California","2287","354","831","229","361","148","0","13","893","257","0","13","87","75","115","77","4","7","111","76",
"1400000US06001405401","Census Tract 4054.01, Alameda County, California","3670","511","997","245","565","150","0","13","1184","329","0","13","712","337","212","99","10","15","202","97",
"1400000US06001405402","Census Tract 4054.02, Alameda County, California","3412","607","779","322","682","219","34","39","1076","277","71","91","671","419","99","60","0","13","99","60",
"1400000US06001405500","Census Tract 4055, Alameda County, California","3674","515","1004","252","866","427","70","92","1308","308","34","50","229","133","163","72","0","13","163","72",
"1400000US06001405600","Census Tract 4056, Alameda County, California","3171","431","919","181","587","238","102","110","967","403","0","13","327","253","269","128","73","60","196","118",
"1400000US06001405700","Census Tract 4057, Alameda County, California","3308","506","647","174","1077","380","11","12","1152","204","0","13","221","162","200","89","27","28","173","84",
"1400000US06001405800","Census Tract 4058, Alameda County, California","3931","648","803","310","588","203","56","85","1833","515","0","13","317","215","334","236","80","109","254","205",
"1400000US06001405901","Census Tract 4059.01, Alameda County, California","4230","671","660","543","552","187","34","37","1508","483","43","62","1065","400","368","341","340","337","28","45",
"1400000US06001405902","Census Tract 4059.02, Alameda County, California","3129","438","470","220","322","96","28","33","1552","339","0","13","538","180","219","142","55","71","164","116",
