"Column Name","Label"
"B15001_025M","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Bachelor's degree"
"B15001_026E","Estimate!!Total:!!Male:!!35 to 44 years:!!Graduate or professional degree"
"B15001_026M","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Graduate or professional degree"
"B15001_027E","Estimate!!Total:!!Male:!!45 to 64 years:"
"B15001_027M","Margin of Error!!Total:!!Male:!!45 to 64 years:"
"B15001_028E","Estimate!!Total:!!Male:!!45 to 64 years:!!Less than 9th grade"
"B15001_028M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Less than 9th grade"
"B15001_029E","Estimate!!Total:!!Male:!!45 to 64 years:!!9th to 12th grade, no diploma"
"B15001_029M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!9th to 12th grade, no diploma"
"B15001_030E","Estimate!!Total:!!Male:!!45 to 64 years:!!High school graduate (includes equivalency)"
"B15001_030M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!High school graduate (includes equivalency)"
"B15001_031E","Estimate!!Total:!!Male:!!45 to 64 years:!!Some college, no degree"
"B15001_031M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Some college, no degree"
"B15001_032E","Estimate!!Total:!!Male:!!45 to 64 years:!!Associate's degree"
"B15001_032M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Associate's degree"
"B15001_033E","Estimate!!Total:!!Male:!!45 to 64 years:!!Bachelor's degree"
"B15001_033M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Bachelor's degree"
"B15001_034E","Estimate!!Total:!!Male:!!45 to 64 years:!!Graduate or professional degree"
"B15001_034M","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Graduate or professional degree"
"B15001_035E","Estimate!!Total:!!Male:!!65 years and over:"
"B15001_035M","Margin of Error!!Total:!!Male:!!65 years and over:"
"B15001_036E","Estimate!!Total:!!Male:!!65 years and over:!!Less than 9th grade"
"B15001_036M","Margin of Error!!Total:!!Male:!!65 years and over:!!Less than 9th grade"
"B15001_037E","Estimate!!Total:!!Male:!!65 years and over:!!9th to 12th grade, no diploma"
"B15001_037M","Margin of Error!!Total:!!Male:!!65 years and over:!!9th to 12th grade, no diploma"
"B15001_038E","Estimate!!Total:!!Male:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_038M","Margin of Error!!Total:!!Male:!!65 years and over:!!High school graduate (includes equivalency)"
"B15001_039E","Estimate!!Total:!!Male:!!65 years and over:!!Some college, no degree"
"B15001_039M","Margin of Error!!Total:!!Male:!!65 years and over:!!Some college, no degree"
"B15001_040E","Estimate!!Total:!!Male:!!65 years and over:!!Associate's degree"
"B15001_040M","Margin of Error!!Total:!!Male:!!65 years and over:!!Associate's degree"
"B15001_041E","Estimate!!Total:!!Male:!!65 years and over:!!Bachelor's degree"
"B15001_041M","Margin of Error!!Total:!!Male:!!65 years and over:!!Bachelor's degree"
"B15001_042E","Estimate!!Total:!!Male:!!65 years and over:!!Graduate or professional degree"
"B15001_042M","Margin of Error!!Total:!!Male:!!65 years and over:!!Graduate or professional degree"
"B15001_043E","Estimate!!Total:!!Female:"
"B15001_043M","Margin of Error!!Total:!!Female:"
"B15001_044E","Estimate!!Total:!!Female:!!18 to 24 years:"
"B15001_044M","Margin of Error!!Total:!!Female:!!18 to 24 years:"
"B15001_045E","Estimate!!Total:!!Female:!!18 to 24 years:!!Less than 9th grade"
"B15001_045M","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Less than 9th grade"
"B15001_046E","Estimate!!Total:!!Female:!!18 to 24 years:!!9th to 12th grade, no diploma"
"B15001_046M","Margin of Error!!Total:!!Female:!!18 to 24 years:!!9th to 12th grade, no diploma"
"B15001_047E","Estimate!!Total:!!Female:!!18 to 24 years:!!High school graduate (includes equivalency)"
"B15001_047M","Margin of Error!!Total:!!Female:!!18 to 24 years:!!High school graduate (includes equivalency)"
"B15001_048E","Estimate!!Total:!!Female:!!18 to 24 years:!!Some college, no degree"
"B15001_048M","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Some college, no degree"
"B15001_049E","Estimate!!Total:!!Female:!!18 to 24 years:!!Associate's degree"
"B15001_049M","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Associate's degree"
"B15001_050E","Estimate!!Total:!!Female:!!18 to 24 years:!!Bachelor's degree"
"B15001_050M","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Bachelor's degree"
"B15001_051E","Estimate!!Total:!!Female:!!18 to 24 years:!!Graduate or professional degree"
"B15001_051M","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Graduate or professional degree"
"B15001_052E","Estimate!!Total:!!Female:!!25 to 34 years:"
"B15001_052M","Margin of Error!!Total:!!Female:!!25 to 34 years:"
"B15001_053E","Estimate!!Total:!!Female:!!25 to 34 years:!!Less than 9th grade"
"B15001_053M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Less than 9th grade"
"B15001_054E","Estimate!!Total:!!Female:!!25 to 34 years:!!9th to 12th grade, no diploma"
"B15001_054M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!9th to 12th grade, no diploma"
"B15001_055E","Estimate!!Total:!!Female:!!25 to 34 years:!!High school graduate (includes equivalency)"
"B15001_055M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!High school graduate (includes equivalency)"
"B15001_056E","Estimate!!Total:!!Female:!!25 to 34 years:!!Some college, no degree"
"B15001_056M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Some college, no degree"
"B15001_057E","Estimate!!Total:!!Female:!!25 to 34 years:!!Associate's degree"
"B15001_057M","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Associate's degree"
"B15001_058E","Estimate!!Total:!!Female:!!25 to 34 years:!!Bachelor's degree"
