"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US06001400100","Census Tract 4001, Alameda County, California","3115","219","2122","263","128","73","0","12","599","205","0","12","99","77","167","100","8","13","159","98",
"1400000US06001400200","Census Tract 4002, Alameda County, California","2025","110","1551","144","59","46","4","6","183","65","0","12","17","11","211","75","0","12","211","75",
"1400000US06001400300","Census Tract 4003, Alameda County, California","5000","311","3757","314","380","184","0","17","535","136","39","64","85","65","204","134","0","17","204","134",
"1400000US06001400400","Census Tract 4004, Alameda County, California","3843","366","2703","307","229","135","32","32","373","115","0","12","188","212","318","127","21","24","297","125",
"1400000US06001400500","Census Tract 4005, Alameda County, California","3786","355","2036","275","990","214","0","12","264","109","23","36","103","105","370","198","42","33","328","191",
"1400000US06001400600","Census Tract 4006, Alameda County, California","1638","137","885","156","360","106","3","6","168","84","13","20","29","31","180","73","0","12","180","73",
"1400000US06001400700","Census Tract 4007, Alameda County, California","5116","570","2326","366","1458","277","92","91","286","108","0","17","540","500","414","180","95","112","319","153",
"1400000US06001400800","Census Tract 4008, Alameda County, California","3792","420","1722","224","1049","347","8","13","522","128","0","12","173","251","318","182","113","95","205","103",
"1400000US06001400900","Census Tract 4009, Alameda County, California","2471","256","1193","272","765","293","15","24","140","71","0","12","225","156","133","66","10","17","123","65",
